Mod  Channel  OutOfRange  Pileup  CfdForcedTrigger  Energy->0  WaveformCount  TotalEvent

0  0  0  0  0  0  0  0
0  1  0  0  0  0  0  0
0  2  0  0  0  0  0  0
0  3  0  0  0  0  0  0
0  4  0  0  0  0  0  0
0  5  0  0  0  0  0  0
0  6  0  0  0  0  0  0
0  7  0  0  0  0  0  0
0  8  0  0  0  0  0  0
0  9  0  0  0  0  0  0
0  10  0  0  0  0  0  0
0  11  0  0  0  0  0  0
0  12  0  0  0  0  0  0
0  13  0  0  0  0  0  0
0  14  0  0  0  0  0  0
0  15  0  0  0  0  0  0

1  0  17  8662  1661  87714  291930  292246
1  1  2  236  4  941  65329  65452
1  2  1  203  5  711  57740  57839
1  3  2  150  9  607  49929  50028
1  4  1  163  9  614  42953  43039
1  5  0  131  162  548  36119  36200
1  6  0  110  289  464  30603  30686
1  7  1  64  97  510  25787  25839
1  8  0  78  69  67  7116  7126
1  9  0  24  2  201  8944  8952
1  10  0  40  0  210  10285  10299
1  11  0  37  7  316  12000  12036
1  12  0  59  51  354  13673  13703
1  13  1  69  101  450  16037  16069
1  14  1  105  86  619  19114  19166
1  15  1  269  153  771  24249  24335

2  0  0  52  339  29  19001  19049
2  1  0  10  8  0  23613  23653
2  2  0  11  1  0  25904  25943
2  3  0  11  1  0  28651  28711
2  4  0  12  11  0  31240  31300
2  5  0  17  5  1  32817  32877
2  6  0  20  9  0  35270  35338
2  7  0  23  8  0  36301  36371
2  8  0  16  4  0  36326  36398
2  9  0  9  11  0  35170  35233
2  10  0  19  10  0  32064  32121
2  11  0  25  23  0  30334  30378
2  12  0  15  12  0  27785  27828
2  13  0  4  6  321  24963  25008
2  14  0  7  0  105  21414  21437
2  15  0  8  82  267  16903  16939

3  0  0  0  0  0  0  0
3  1  0  0  0  0  0  0
3  2  0  0  0  0  0  0
3  3  0  0  0  0  0  0
3  4  0  0  0  0  0  0
3  5  0  0  0  0  0  0
3  6  0  0  0  0  0  0
3  7  0  0  0  0  0  0
3  8  0  0  0  0  0  0
3  9  0  0  0  0  0  0
3  10  0  0  0  0  0  0
3  11  0  0  0  0  0  0
3  12  0  0  0  0  0  0
3  13  0  0  0  0  0  0
3  14  0  0  0  0  0  0
3  15  0  0  0  0  0  0

4  0  0  0  0  0  0  0
4  1  0  0  0  0  0  0
4  2  0  0  0  0  0  0
4  3  0  0  0  0  0  0
4  4  0  0  0  0  0  0
4  5  0  0  0  0  0  0
4  6  0  0  0  0  0  0
4  7  0  0  0  0  0  0
4  8  0  0  0  0  0  0
4  9  0  0  0  0  0  0
4  10  0  0  0  0  0  0
4  11  0  0  0  0  0  0
4  12  0  0  0  0  0  0
4  13  0  0  0  0  0  0
4  14  0  0  0  0  0  0
4  15  0  0  0  0  0  0
