Mod  Channel  OutOfRange  Pileup  CfdForcedTrigger  Energy->0  WaveformCount  TotalEvent

0  0  264  55390  22074  1456  0  849561
0  1  160  28081  665  10429  0  609222
0  2  143  252286  23361  1604  0  1755682
0  3  85  231393  31177  2679  0  1552283
0  4  66  19438  6195  2351  0  459951
0  5  9438  25230  344  658  0  388092
0  6  106  28278  16750  5339  0  548913
0  7  47  142519  191152  39846  0  1412582
0  8  2  22189  1968  2  0  79490
0  9  995  533110  81369  3025  0  5021012
0  10  994  774691  90974  8737  0  5777271
0  11  1148  680583  109791  9333  0  6636612
0  12  664  224487  158269  8706  0  3543525
0  13  586  250325  160152  34636  0  3664695
0  14  636  230699  129993  67888  0  3480207
0  15  663  190135  124922  30500  0  3316796
