Mod  Channel  OutOfRange  Pileup  CfdForcedTrigger  Energy->0  WaveformCount  TotalEvent

0  0  0  0  0  0  0  0
0  1  0  0  0  0  0  0
0  2  0  0  0  0  0  0
0  3  0  0  0  0  0  0
0  4  0  0  0  0  0  0
0  5  0  0  0  0  0  0
0  6  0  0  0  0  0  0
0  7  0  0  0  0  0  0
0  8  0  0  0  0  0  0
0  9  0  0  0  0  0  0
0  10  0  0  0  0  0  0
0  11  0  0  0  0  0  0
0  12  0  0  0  0  0  0
0  13  0  0  0  0  0  0
0  14  0  0  0  0  0  0
0  15  0  0  0  0  0  0

1  0  371  8680  2915  1158  104339  104857
1  1  64  572  35  655  39951  40266
1  2  62  476  30  488  41219  41462
1  3  47  490  38  655  41954  42173
1  4  47  450  35  606  41423  41627
1  5  52  469  1188  572  40895  41101
1  6  53  452  2269  571  39531  39758
1  7  57  408  1337  597  36856  38101
1  8  62  482  772  199  18929  19165
1  9  53  413  47  452  23409  23672
1  10  67  467  34  514  25476  25762
1  11  77  502  144  685  27657  27967
1  12  93  527  1255  799  29706  30039
1  13  115  647  1283  1005  31590  31968
1  14  129  768  668  1352  34415  34908
1  15  159  1049  669  1831  4037  37508

2  0  116  502  2121  341  27804  28010
2  1  3  115  88  45  33304  33366
2  2  1  72  44  43  34805  34847
2  3  0  47  283  33  35793  35814
2  4  1  43  933  29  36143  36162
2  5  0  38  437  29  36803  36818
2  6  0  47  494  29  38142  38166
2  7  0  42  178  28  37795  37818
2  8  0  52  123  28  37555  37595
2  9  1  67  421  44  35923  35962
2  10  3  83  402  45  33665  33725
2  11  3  95  828  46  31612  31672
2  12  3  112  275  52  30395  30460
2  13  4  134  91  689  27982  28062
2  14  9  160  13  377  24708  24817
2  15  30  229  793  634  19142  19295

3  0  0  0  0  0  0  0
3  1  0  0  0  0  0  0
3  2  0  0  0  0  0  0
3  3  0  0  0  0  0  0
3  4  0  0  0  0  0  0
3  5  0  0  0  0  0  0
3  6  0  0  0  0  0  0
3  7  0  0  0  0  0  0
3  8  0  0  0  0  0  0
3  9  0  0  0  0  0  0
3  10  0  0  0  0  0  0
3  11  0  0  0  0  0  0
3  12  0  0  0  0  0  0
3  13  0  0  0  0  0  0
3  14  0  0  0  0  0  0
3  15  0  0  0  0  0  0

4  0  0  0  0  0  0  0
4  1  0  0  0  0  0  0
4  2  0  0  0  0  0  0
4  3  0  0  0  0  0  0
4  4  0  0  0  0  0  0
4  5  0  0  0  0  0  0
4  6  0  0  0  0  0  0
4  7  0  0  0  0  0  0
4  8  0  0  0  0  0  0
4  9  0  0  0  0  0  0
4  10  0  0  0  0  0  0
4  11  0  0  0  0  0  0
4  12  0  0  0  0  0  0
4  13  0  0  0  0  0  0
4  14  0  0  0  0  0  0
4  15  0  0  0  0  0  0
