Mod  Channel  OutOfRange  Pileup  CfdForcedTrigger  Energy->0  WaveformCount  TotalEvent

0  0  0  0  0  0  0  0
0  1  0  0  0  0  0  0
0  2  0  0  0  0  0  0
0  3  0  0  0  0  0  0
0  4  0  0  0  0  0  0
0  5  0  0  0  0  0  0
0  6  0  0  0  0  0  0
0  7  0  0  0  0  0  0
0  8  0  0  0  0  0  0
0  9  0  0  0  0  0  0
0  10  0  0  0  0  0  0
0  11  0  0  0  0  0  0
0  12  0  0  0  0  0  0
0  13  0  0  0  0  0  0
0  14  0  0  0  0  0  0
0  15  0  0  0  0  0  0

1  0  190  10148  2037  1856  110453  110578
1  1  129  408  24  626  32799  32891
1  2  120  389  18  488  33772  33865
1  3  116  358  20  501  34110  34199
1  4  114  348  45  512  33864  33950
1  5  114  351  1189  539  33386  33474
1  6  115  355  2036  603  32316  32405
1  7  113  351  1195  765  31098  31186
1  8  118  398  659  279  15787  15882
1  9  111  311  26  508  19312  19413
1  10  112  339  9  651  20999  21103
1  11  132  340  166  646  22516  22613
1  12  133  377  1152  896  24324  24430
1  13  145  418  1333  1004  26121  26223
1  14  153  481  681  1420  28345  28467
1  15  199  620  630  1572  30414  30552

2  0  153  311  1856  285  22782  22854
2  1  46  191  92  125  27219  27290
2  2  14  166  34  118  28499  28564
2  3  16  156  352  117  29502  29566
2  4  10  150  929  111  29807  29871
2  5  10  148  416  103  29824  29890
2  6  10  157  589  112  31227  31292
2  7  5  155  226  104  31303  31369
2  8  10  153  190  112  31027  31093
2  9  14  169  497  127  29283  29351
2  10  19  167  431  128  27393  27463
2  11  19  173  822  138  26226  26299
2  12  27  179  292  146  24503  24576
2  13  35  189  120  678  22990  23063
2  14  49  195  4  455  20414  20492
2  15  82  215  724  544  15725  15802

3  0  0  0  0  0  0  0
3  1  0  0  0  1  1  1
3  2  0  0  0  0  0  0
3  3  0  0  0  0  0  0
3  4  0  0  0  0  0  0
3  5  0  0  0  0  0  0
3  6  0  0  0  0  0  0
3  7  0  0  0  0  0  0
3  8  0  0  0  0  0  0
3  9  0  0  0  0  0  0
3  10  0  0  0  0  0  0
3  11  0  0  0  0  0  0
3  12  0  0  0  0  0  0
3  13  0  0  0  0  0  0
3  14  0  0  0  0  0  0
3  15  0  0  0  0  0  0

4  0  0  0  0  0  0  0
4  1  0  0  0  0  0  0
4  2  0  0  0  0  0  0
4  3  0  0  0  0  0  0
4  4  0  0  0  0  0  0
4  5  0  0  0  0  0  0
4  6  0  0  0  0  0  0
4  7  0  0  0  0  0  0
4  8  0  0  0  0  0  0
4  9  0  0  0  0  0  0
4  10  0  0  0  0  0  0
4  11  0  0  0  0  0  0
4  12  0  0  0  0  0  0
4  13  0  0  0  0  0  0
4  14  0  0  0  0  0  0
4  15  0  0  0  0  0  0
