Mod  Channel  OutOfRange  Pileup  CfdForcedTrigger  Energy->0  WaveformCount  TotalEvent

0  0  0  0  0  0  0  0
0  1  0  0  0  0  0  0
0  2  0  0  0  0  0  0
0  3  0  0  0  0  0  0
0  4  0  0  0  0  0  0
0  5  0  0  0  0  0  0
0  6  0  0  0  0  0  0
0  7  0  0  0  0  0  0
0  8  0  0  0  0  0  0
0  9  0  0  0  0  0  0
0  10  0  0  0  0  0  0
0  11  0  0  0  0  0  0
0  12  0  0  0  0  0  0
0  13  0  0  0  0  0  0
0  14  0  0  0  0  0  0
0  15  0  0  0  0  0  0

1  0  1660  18954  3778  3481  173428  174455
1  1  872  1925  52  1591  55083  55783
1  2  784  1809  45  1336  55901  56561
1  3  664  1742  51  1521  57095  57745
1  4  687  1699  73  1386  56570  57213
1  5  730  1673  1852  1408  55669  56329
1  6  760  1658  3096  1371  54029  54683
1  7  769  1708  1847  1619  23816  52212
1  8  814  1866  1114  943  12098  27215
1  9  781  1813  50  1357  14824  33195
1  10  888  1845  48  1486  16076  36158
1  11  954  1965  279  1755  16920  38734
1  12  1015  2065  1740  1977  18211  41501
1  13  1147  2192  1933  2408  19551  44926
1  14  1213  2420  1114  2978  21466  48799
1  15  1377  2934  995  3715  22837  52991

2  0  1065  1820  2963  1192  38437  39020
2  1  596  1012  153  557  45791  46238
2  2  355  897  58  552  47243  47619
2  3  327  834  488  554  48543  48921
2  4  266  825  1281  521  49078  49457
2  5  307  860  602  568  22574  50059
2  6  270  895  825  584  23411  51781
2  7  293  895  325  591  23647  52117
2  8  295  949  242  613  23197  51479
2  9  299  1014  708  599  22048  49395
2  10  384  1030  585  619  20517  46004
2  11  371  1104  1306  696  19294  43794
2  12  431  1135  475  700  18580  41988
2  13  468  1202  155  1591  17201  39008
2  14  525  1254  24  1165  15318  34669
2  15  641  1465  1095  1494  11874  27416

3  0  0  0  0  0  0  0
3  1  0  0  0  0  0  0
3  2  0  0  0  0  0  0
3  3  0  0  0  0  0  0
3  4  0  0  0  0  0  0
3  5  0  0  0  0  0  0
3  6  0  0  0  0  0  0
3  7  0  0  0  0  0  0
3  8  0  0  0  0  0  0
3  9  0  0  0  0  0  0
3  10  0  0  0  0  0  0
3  11  0  0  0  0  0  0
3  12  0  0  0  0  0  0
3  13  0  0  0  0  0  0
3  14  0  0  0  0  0  0
3  15  0  0  0  0  0  0

4  0  0  0  0  0  0  0
4  1  0  0  0  0  0  0
4  2  0  0  0  0  0  0
4  3  0  0  0  0  0  0
4  4  0  0  0  0  0  0
4  5  0  0  0  0  0  0
4  6  0  0  0  0  0  0
4  7  0  0  0  0  0  0
4  8  0  0  0  0  0  0
4  9  0  0  0  0  0  0
4  10  0  0  0  0  0  0
4  11  0  0  0  0  0  0
4  12  0  0  0  0  0  0
4  13  0  0  0  0  0  0
4  14  0  0  0  0  0  0
4  15  0  0  0  0  0  0
