Mod  Channel  OutOfRange  Pileup  CfdForcedTrigger  Energy->0  WaveformCount  TotalEvent

0  0  113  74  86  198  0  17995
0  1  105  72  92  182  0  17111
0  2  112  48  86  178  0  16204
0  3  100  58  98  172  0  17186
0  4  95  66  100  162  0  16211
0  5  110  45  89  156  0  15886
0  6  89  62  101  151  0  15799
0  7  100  82  119  182  0  15621
0  8  95  68  113  189  0  16539
0  9  93  50  134  152  0  16617
0  10  79  45  102  124  0  16178
0  11  74  57  147  136  0  16017
0  12  86  70  105  156  0  17190
0  13  84  68  89  155  0  16767
0  14  88  61  99  152  0  16663
0  15  90  56  106  146  0  17300
