Mod  Channel  OutOfRange  Pileup  CfdForcedTrigger  Energy->0  WaveformCount  TotalEvent

0  0  341  194122  48875  34281  0  2971076
0  1  21  58255  3554  16674  0  1566802
0  2  71  793461  79250  28014  0  5355203
0  3  102  1197463  141561  30816  0  9123569
0  4  21  74599  21261  25854  0  1593152
0  5  28689  121173  2717  11349  0  959684
0  6  208  146139  165057  98307  0  5781499
0  7  248  851163  1797504  133051  0  13831569
0  8  2  193297  7322  2  0  1179041
0  9  88  352601  55049  14585  0  2614279
0  10  252  568547  61346  95346  0  3308294
0  11  139  367780  55280  38010  0  2660139
0  12  759  453115  500115  16774  0  9983818
0  13  703  516128  544057  72831  0  10801797
0  14  697  535014  412181  273006  0  9763711
0  15  723  376571  376908  32295  0  9121168
