Mod  Channel  OutOfRange  Pileup  CfdForcedTrigger  Energy->0  WaveformCount  TotalEvent

0  0  464  215375  59290  30276  0  3140251
0  1  23  74529  2798  44143  0  1905179
0  2  157  1059070  102513  30694  0  7836102
0  3  87  1243652  148505  34550  0  9621856
0  4  30  90647  28028  29075  0  2187059
0  5  78584  132067  2334  74687  0  1289683
0  6  207  139922  158899  71737  0  5609416
0  7  220  826188  1749776  74080  0  13426386
0  8  2  186994  7310  1  0  1155005
0  9  447  696715  114747  25189  0  6363465
0  10  782  1079142  124641  35484  0  8212044
0  11  566  723570  119315  65095  0  6543650
0  12  728  447522  486960  16407  0  9740945
0  13  708  508094  529660  70103  0  10538521
0  14  697  388497  394134  60141  0  9323714
0  15  688  368283  366644  30802  0  8888310
