cid  sid    ch    det    id     a0     a1     a2
0     2     0      0     0      57.4288  2.73081    0.0 
0     2	    1	   0	 1 	48.3017  2.6409    0.0	
0     2	    2	   0	 2 	61.1934  2.54601    0.0 	
0     2	    3	   0	 3 	36.6555  2.57491    0.0
0     2	    4	   0	 4 	44.4371  2.58803    0.0	
0     2	    5	   0	 5 	57.175  2.6208    0.0
0     2	    6	   0	 6 	51.8874  2.56591    0.0
0     2	    7	   0	 7 	52.1862  2.57884    0.0
0     2	    8	   0	 8 	60.5048  2.58591    0.0
0     2	    9	   0	 9 	38.222  2.59609    0.0	
0     2	    10	   0	 10	38.1168  2.61012    0.0	
0     2	    11	   0	 11	57.2985  2.54438    0.0
0     2	    12	   0	 12	58.9527  2.56825    0.0
0     2	    13	   0	 13	-88.5594  2.64535    0.0
0     2	    14	   0	 14	63.1515  2.76136    0.0
0     2	    15	   0	 15	40.8596  2.53601    0.0
0     3	    0	   0	 16	49.6215  2.56329    0.0 
0     3	    1	   0	 17	55.6326  2.5467    0.0	
0     3	    2	   0	 18	9.96266  2.61264    0.0	
0     3	    3	   0	 19	54.5611  2.55745    0.0
0     3	    4	   0	 20	70.9819  2.56949    0.0	
0     3	    5	   0	 21	48.067  2.60858    0.0
0     3	    6	   0	 22	75.7447  2.60933    0.0
0     3	    7	   0	 23	63.0139  2.57519    0.0
0     3	    8	   0	 24	69.5506  2.61795    0.0
0     3	    9	   0	 25	59.4646  2.59979    0.0	
0     3	    10	   0	 26	41.5584  2.58409    0.0	
0     3	    11	   0	 27	38.7203  2.62606    0.0
0     3	    12	   0	 28	69.7069  2.57226    0.0
0     3	    13	   0	 29	24.8534  2.55302    0.0
0     3	    14	   0	 30	44.4627  2.57214    0.0
0     3	    15	   0	 31	46.0194  2.60088    0.0
0     4	    0	   0	 32	53.4319  2.6019    0.0 
0     4	    1	   0	 33	31.4419  2.54513    0.0	
0     4	    2	   0	 34	39.6823  2.5441    0.0	
0     4	    3	   0	 35	-56.0549  2.61875    0.0
0     4	    4	   0	 36	42.4296  2.60132    0.0	
0     4	    5	   0	 37	51.978  2.57876    0.0
0     4	    6	   0	 38	50.5942  2.70316    0.0
0     4	    7	   0	 39	27.1666  2.61742    0.0
0     4	    8	   0	 40	31.8831  2.77551    0.0
0     4	    9	   0	 41	45.9262  2.57763    0.0	
0     4	    10	   0	 42	34.9238  2.61034    0.0	
0     4	    11	   0	 43	41.6353  2.60279    0.0
0     4	    12	   0	 44	43.7026  2.60722    0.0
0     4	    13	   0	 45	36.0397  2.58696    0.0
0     4	    14	   0	 46	-114.146  2.67471    0.0
0     4	    15	   0	 47	55.8165  2.60754    0.0
0     5	    0	   2	 0	0.0    0.0    0.0 
0     5	    1	   2	 1	0.0    0.0    0.0	
0     5	    2	   2	 2	0.0    0.0    0.0	
0     5	    3	   2	 3	0.0    0.0    0.0
0     5	    4	   2	 4	0.0    0.0    0.0	
0     5	    5	   2	 5	0.0    0.0    0.0
0     5	    6	   2	 6	0.0    0.0    0.0
0     5	    7	   2	 7	0.0    0.0    0.0
0     5	    8	   2	 8	0.0    0.0    0.0
0     5	    9	   2	 9	0.0    0.0    0.0	
0     5	    10	   2	 10	0.0    0.0    0.0	
0     5	    11	   2	 11	0.0    0.0    0.0
0     5	    12	   2	 12	0.0    0.0    0.0
0     5	    13	   2	 13	0.0    0.0    0.0
0     5	    14	   2	 14	0.0    0.0    0.0
0     5	    15	   2	 15	0.0    0.0    0.0
0     6	    0	   2	 16	0.0    0.0    0.0 
0     6	    1	   2	 17	0.0    0.0    0.0	
0     6	    2	   2	 18	0.0    0.0    0.0	
0     6	    3	   2	 19	0.0    0.0    0.0
0     6	    4	   2	 20	0.0    0.0    0.0	
0     6	    5	   2	 21	0.0    0.0    0.0
0     6	    6	   2	 22	0.0    0.0    0.0
0     6	    7	   2	 23	0.0    0.0    0.0
0     6	    8	   2	 24	0.0    0.0    0.0
0     6	    9	   2	 25	0.0    0.0    0.0	
0     6	    10	   2	 26	0.0    0.0    0.0	
0     6	    11	   2	 27	0.0    0.0    0.0
0     6	    12	   2	 28	0.0    0.0    0.0
0     6	    13	   2	 29	0.0    0.0    0.0
0     6	    14	   2	 30	0.0    0.0    0.0
0     6	    15	   2	 31	0.0    0.0    0.0
0     7	    0	   3	 0	0.0    0.0    0.0 
0     7	    1	   3	 1	0.0    0.0    0.0	
0     7	    2	   3	 2	0.0    0.0    0.0	
0     7	    3	   3	 3	0.0    0.0    0.0
0     7	    4	   3	 4	0.0    0.0    0.0	
0     7	    5	   3	 5	0.0    0.0    0.0
0     7	    6	   3	 6	0.0    0.0    0.0
0     7	    7	   3	 7	0.0    0.0    0.0
0     7	    8	   3	 8	0.0    0.0    0.0
0     7	    9	   3	 9	0.0    0.0    0.0	
0     7	    10	   3	 10	0.0    0.0    0.0	
0     7	    11	   3	 11	0.0    0.0    0.0
1     2	    0	   1	 0	52.8002  2.18304    0.0 
1     2	    1	   1	 1	48.9634  2.16012    0.0	
1     2	    2	   1	 2	53.5056  2.25326    0.0	
1     2	    3	   1	 3	62.9943  2.18781    0.0
1     2	    4	   1	 4	24.848  2.23637    0.0	
1     2	    5	   1	 5	83.7112  2.19211    0.0
1     2	    6	   1	 6	85.6917  2.1856    0.0
1     2	    7	   1	 7	63.8968  2.19461    0.0
1     2	    8	   1	 8	61.276  2.21111    0.0
1     2	    9	   1	 9	59.6447  2.18256    0.0	
1     2	    10	   1	 10	52.8492  2.2338    0.0	
1     2	    11	   1	 11	10.4879  2.25046    0.0
1     2	    12	   1	 12	48.0434  2.19845    0.0
1     2	    13	   1	 13	26.0102  2.22827    0.0
1     2	    14	   1	 14	59.7156  2.24561    0.0
1     2	    15	   1	 15	69.2508  2.19594    0.0
1     3	    0	   1	 16	44.5141  2.23311    0.0 
1     3	    1	   1	 17	53.2068  2.16884    0.0	
1     3	    2	   1	 18	38.6905  2.14375    0.0	
1     3	    3	   1	 19	47.3458  2.16548    0.0
1     3	    4	   1	 20	34.9296  2.19287    0.0	
1     3	    5	   1	 21	72.281  2.18705    0.0
1     3	    6	   1	 22	102.771  2.1565    0.0
1     3	    7	   1	 23	-49.8962  2.26911    0.0
1     3	    8	   1	 24	48.9695  2.16695    0.0
1     3	    9	   1	 25	59.1623  2.20357    0.0	
1     3	    10	   1	 26	83.4474  2.20161    0.0	
1     3	    11	   1	 27	51.2408  2.14656    0.0
1     3	    12	   1	 28	88.103  2.21204    0.0
1     3	    13	   1	 29	47.6059  2.19293    0.0
1     3	    14	   1	 30	44.6012  2.22884    0.0
1     3	    15	   1	 31	34.5177  2.14893    0.0
1     4	    0	   1	 32	-0.461219  2.26831    0.0 
1     4	    1	   1	 33	-6.49572  2.2123    0.0	
1     4	    2	   1	 34	118.469  2.13173    0.0	
1     4	    3	   1	 35	16.9523  2.17185    0.0
1     4	    4	   1	 36	55.2619  2.15991    0.0	
1     4	    5	   1	 37	64.0007  2.1971    0.0
1     4	    6	   1	 38	56.2025  2.16731    0.0
1     4	    7	   1	 39	10.2681  2.14844    0.0
1     4	    8	   1	 40	21.4381  2.25686    0.0
1     4	    9	   1	 41	57.7804  2.23986    0.0	
1     4	    10	   1	 42	11.4862  2.21731    0.0	
1     4	    11	   1	 43	49.1002  2.17534    0.0
1     4	    12	   1	 44	79.3845  2.15169    0.0
1     4	    13	   1	 45	134.877  2.17505    0.0
1     4	    14	   1	 46	0.0    0.0    0.0
1     4	    15	   1	 47	59.0382  2.19359    0.0
1     5	    0	   1	 48	69.7303  2.20885    0.0 
1     5	    1	   1	 49	69.7311  2.13343    0.0	
1     5	    2	   1	 50	34.7166  2.20994    0.0	
1     5	    3	   1	 51	26.554  2.20845    0.0
1     5	    4	   1	 52	58.414  2.12842    0.0	
1     5	    5	   1	 53	27.9907  2.21714    0.0
1     5	    6	   1	 54	74.685  2.16148    0.0
1     5	    7	   1	 55	34.3767  2.14039    0.0
1     5	    8	   1	 56	61.666  2.11803    0.0
1     5	    9	   1	 57	66.3308  2.18933    0.0	
1     5	    10	   1	 58	59.4943  2.16758    0.0	
1     5	    11	   1	 59	29.6145  2.16858    0.0
1     5	    12	   1	 60	78.39  2.208    0.0
1     5	    13	   1	 61	73.3905  2.13499    0.0
1     5	    14	   1	 62	48.0761  2.19814    0.0
1     5	    15	   1	 63	55.6617  2.16099    0.0
1     6	    0	   1	 112	50.8087	 2.57429    0.0 
1     6	    1	   1	 113	9.45412	 2.6312	   0.0	
1     6	    2	   1	 114	43.0826	 2.54733    0.0	
1     6	    3	   1	 115	59.0068	 2.57213    0.0
1     6	    4	   1	 116	22.9722	 2.52962    0.0	
1     6	    5	   1	 117	57.7967	 2.5416	   0.0
1     6	    6	   1	 118	109.151	 2.50102    0.0
1     6	    7	   1	 119	46.7398	 2.54569    0.0
1     6	    8	   1	 120	121.751	 2.5606	   0.0
1     6	    9	   1	 121	106.894	 2.51913    0.0	
1     6	    10	   1	 122	71.0971	 2.55815    0.0	
1     6	    11	   1	 123	71.5337	 2.69955    0.0
1     6	    12	   1	 124	70.6273	 2.51634    0.0
1     6	    13	   1	 125	37.6438	 2.54327    0.0
1     6	    14	   1	 126	76.2045	 2.58066    0.0
1     6	    15	   1	 127	62.5756	 2.70862    0.0
1     7	    0	   1	 96	136.094	 2.53733    0.0 
1     7	    1	   1	 97	72.0551	 2.53999    0.0	
1     7	    2	   1	 98	51.7909	 2.57647    0.0	
1     7	    3	   1	 99	33.0167	 2.53621    0.0
1     7	    4	   1	 100	73.2124	 2.55403    0.0	
1     7	    5	   1	 101	65.8189	 2.56016    0.0
1     7	    6	   1	 102	76.5287	 2.5591	   0.0
1     7	    7	   1	 103	9.48274	 2.55194    0.0
1     7	    8	   1	 104	81.1549	 2.56344    0.0
