cid  sid    ch    det    id     a0     a1     a2
1     7	    9	   1	 105	48.3285	 2.56494    0.0	
1     7	    10	   1	 106	48.7753	 2.63842    0.0	
1     7	    11	   1	 107	60.1677	 2.56391    0.0
1     7	    12	   1	 108	80.1016	 2.52812    0.0
1     7	    13	   1	 109	49.4896	 2.50356    0.0
1     7	    14	   1	 110	16.4277	 2.64052    0.0
1     7	    15	   1	 111	1.75594	 2.54781    0.0
1     8	    0	   1	 80	35.6808  2.54677    0.0 
1     8	    1	   1	 81	37.601	 2.54281    0.0	
1     8	    2	   1	 82	54.7197  2.44914    0.0	
1     8	    3	   1	 83	42.7552  2.56808    0.0
1     8	    4	   1	 84	44.5822	 2.52361    0.0	
1     8	    5	   1	 85	39.2106	 2.55949    0.0
1     8	    6	   1	 86	50.8046	 2.48043    0.0
1     8	    7	   1	 87	67.273	2.51242	   0.0
1     8	    8	   1	 88	54.8851	 2.55119    0.0
1     8	    9	   1	 89	47.3957	 2.50509    0.0	
1     8	    10	   1	 90	125.532	 2.5374	   0.0	
1     8	    11	   1	 91	84.9142	 2.49098    0.0
1     8	    12	   1	 92	72.7013	 2.56847    0.0
1     8	    13	   1	 93	24.9327	 2.55194    0.0
1     8	    14	   1	 94	53.7987	 2.53051    0.0
1     8	    15	   1	 95	110.887	 2.52118    0.0
1     9	    0	   1	 64	66.5535	 2.53161    0.0 
1     9	    1	   1	 65	124.954	 2.48224    0.0	
1     9	    2	   1	 66	36.2267	 2.49847    0.0	
1     9	    3	   1	 67	44.6735	 2.56852    0.0
1     9	    4	   1	 68	95.7763	 2.50365    0.0	
1     9	    5	   1	 69	33.6942	 2.49871    0.0
1     9	    6	   1	 70	35.078	2.59071	   0.0
1     9	    7	   1	 71	32.2482	 2.52379    0.0
1     9	    8	   1	 72	17.1379	 2.51754    0.0
1     9	    9	   1	 73	54.9815	 2.60125    0.0	
1     9	    10	   1	 74	51.1782	 2.57094    0.0	
1     9	    11	   1	 75	50.2044	 2.58818    0.0
1     9	    12	   1	 76	46.1932	 2.55753    0.0
1     9	    13	   1	 77	53.6523	 2.57903    0.0
1     9	    14	   1	 78	22.5679	 2.58164    0.0
1     9	    15	   1	 79	112.046	 2.55127    0.0


















